"","x","y","areaId","pr"
"425",487912.557874681,404072.548145541,"938",0.01175
"426",488911.2570997,404072.432153835,"939",0.0245
"427",489909.956074715,404072.32619554,"940",0.02525
"428",490908.654808105,404072.230228833,"941",0.036
"429",491907.353308122,404072.144228833,"942",0.1255
"430",492906.051641509,404072.068245536,"943",NA
"431",456952.183307188,403087.016745623,"966",0.17775
"432",457950.913140583,403086.591978908,"967",0.2375
"433",458949.641923966,403086.177145606,"968",0.24425
"434",459948.369707251,403085.772312206,"969",0.156
"435",460947.096515626,403085.377420609,"970",0.194
"436",461945.822349022,403084.992503895,"971",0.225
"437",462944.547249038,403084.617553894,"972",0.1135
"438",463943.271274049,403084.252595598,"973",0.0505
"439",464941.994407444,403083.897628885,"974",0.04125
"440",465940.716649088,403083.552603889,"975",0.03575
"441",466939.438065849,403083.217553877,"976",0.03825
"442",467938.158632488,403082.892470586,"977",0.03775
"443",468936.87845751,403082.577378879,"978",0.043
"444",469935.597515898,403082.272253873,"979",0.03575
"445",470934.315807542,403081.977078877,"980",0.028
"446",471933.033399299,403081.691870572,"981",0.0185
"447",472931.750265947,403081.41665387,"982",0.006
"448",473930.466515964,403081.151403869,"983",0.001
"449",474929.182124353,403080.896128864,"984",0.00025
"450",475927.897082742,403080.650803859,"985",0.001
"451",476926.611449382,403080.415470567,"986",0.00375
"452",477925.325274402,403080.19012886,"987",0.0045
"453",478924.038532791,403079.974703855,"988",0.0065
"454",479922.75129118,403079.769278851,"989",0.00675
"455",480921.463557821,403079.573845559,"990",0.00975
"456",481920.17533284,403079.388353853,"991",0.0145
"457",482918.886691229,403079.21282885,"992",0.0145
"458",483917.597616243,403079.047270554,"993",0.01175
"459",484916.308149634,403078.891703846,"994",0.008
"460",485915.018291279,403078.746128847,"995",0.00725
"461",486913.728099667,403078.610503845,"996",0.00625
"462",487912.437599683,403078.484803844,"997",0.00825
"463",488911.146774698,403078.369095549,"998",0.02875
"464",489909.855708089,403078.263428842,"999",0.03225
"465",490908.564383104,403078.167670547,"1000",0.042
"466",491907.272808122,403078.081878841,"1001",0.1675
"467",492905.981058138,403078.00607884,"1002",NA
"468",456951.756065575,402092.932687212,"1025",0.214
"469",457950.495807205,402092.508945629,"1026",0.2375
"470",458949.234515608,402092.095137209,"1027",0.27025
"471",459947.972223983,402091.691245612,"1028",0.17875
"472",460946.70891564,402091.297387206,"1029",0.09975
"473",461945.444665644,402090.913420615,"1030",0.14975
"474",462944.179499039,402090.539403902,"1031",0.1025
"475",463942.913432434,402090.175337189,"1032",0.0375
"476",464941.646449072,402089.821203899,"1033",0.03225
"477",465940.378607461,402089.477028892,"1034",0.023
"478",466939.1099241,402089.142795602,"1035",0.01625
"479",467937.840440871,402088.818512178,"1036",0.01325
"480",468936.57015751,402088.504178888,"1037",0.014
"481",469935.299115899,402088.199803881,"1038",0.01175
"482",470934.027315915,402087.90535388,"1039",0.0075
"483",471932.754815931,402087.620853879,"1040",0.006
"484",472931.481615948,402087.346303878,"1041",0.001
"485",473930.207774337,402087.081728873,"1042",0
"486",474928.933274353,402086.827078872,"1043",0.00075
"487",475927.658140993,402086.582345581,"1044",0.0025
"488",476926.382457762,402086.34761216,"1045",0.004
"489",477925.106182775,402086.122803865,"1046",0.00525
"490",478923.829349415,402085.907920573,"1047",0.00575
"491",479922.552007811,402085.703012158,"1048",0.00625
"492",480921.274191197,402085.508028859,"1049",0.0105
"493",481919.995891213,402085.322978858,"1050",0.0175
"494",482918.71714123,402085.147878858,"1051",0.0125
"495",483917.437982873,402084.98275386,"1052",0.008
"496",484916.158449635,402084.827553854,"1053",0.0055
"497",485914.878499651,402084.682303853,"1054",0.00575
"498",486913.598191295,402084.547028855,"1055",0.00725
"499",487912.317599684,402084.421653852,"1056",0.0105
"500",488911.036708073,402084.30622885,"1057",0.036
"501",489909.755549717,402084.200803852,"1058",0.0475
"502",490908.474149733,402084.105303851,"1059",0.0935
"503",491907.192508122,402084.019728849,"1060",NA
"504",492905.910666511,402083.944103847,"1061",NA
"505",456951.329857204,401098.848812228,"1084",0.231
"506",457950.079498958,401098.426103917,"1085",0.22025
"507",458948.828082229,401098.01330393,"1086",0.197
"508",459947.575690618,401097.610428921,"1087",0.16825
"509",460946.322299007,401097.217503913,"1088",0.141
"510",461945.06792403,401096.834512206,"1089",0.0895
"511",462943.81264904,401096.46140391,"1090",0.055
"512",463942.556440684,401096.098228914,"1091",0.03125
"513",464941.299357445,401095.744978901,"1092",0.027
"514",465940.041407461,401095.4016289,"1093",0.01925
"515",466938.782632484,401095.068237193,"1094",0.0115
"516",467937.522999122,401094.744753902,"1095",0.008
"517",468936.262615883,401094.43120389,"1096",0.00525
"518",469935.0014659,401094.127553889,"1097",0.0025
"519",470933.739565916,401093.833803889,"1098",0.001
"520",471932.476932564,401093.550037186,"1099",0.001
"521",472931.213624321,401093.276178881,"1100",5e-04
"522",473929.949674338,401093.01222888,"1101",0
"523",474928.685074354,401092.758178879,"1102",0.001
"524",475927.419849374,401092.514087173,"1103",0.00225
"525",476926.154024387,401092.279928878,"1104",0.00475
"526",477924.887632775,401092.055653873,"1105",0.0065
"527",478923.620707795,401091.841312166,"1106",0.008
"528",479922.353257805,401091.636895577,"1107",0.00725
"529",480921.085307828,401091.442412165,"1108",0.00675
"530",481919.816882841,401091.257803869,"1109",0.00775
"531",482918.54804123,401091.083128866,"1110",0.00725
"532",483917.278774621,401090.918412157,"1111",0.00675
